"Please confirm reason to cancel this order?","Vui lòng xác nhận lý do để hủy đơn đặt hàng?"
"Cancel Reason","Lý do hủy đơn"
"Order have been cancelled. Reason: %1", "Đơn hàng đã bị hủy. Lý do: %1"
"Reason Cancel:", "Lý do hủy:"
