Qty,Qty
"Customize and Add to Cart","Customize and Add to Cart"
"We can't find flash sale matching the selection.","We can't find flash sale matching the selection."
Availability,Availability
Status,Status
Start,Start
End,End
"To Start","To Start"
"To End","To End"
Past,Past
"We couldn't find any records.","We couldn't find any records."
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
Attention,Attention
Ok,Ok
"Lof Flash Sales Campaigns","Lof Flash Sales Campaigns"
"Lof Flash Sales - Config Settings","Lof Flash Sales - Config Settings"
General,General
Permissions,Permissions
"Private Sale Permissions","Private Sale Permissions"
"Allow Browsing Event","Allow Browsing Event"
"Customer Groups","Customer Groups"
"Display Product Mode","Display Product Mode"
"Landing Page","Landing Page"
"Display Product Prices","Display Product Prices"
"Allow Adding to Cart","Allow Adding to Cart"
"Display Add to Cart Mode","Display Add to Cart Mode"
"Cart Button Title","Cart Button Title"
"Text Message When Button Add to Cart Is Hidden","Text Message When Button Add to Cart Is Hidden"
"Display Settings","Display Settings"
"Category Display","Category Display"
"Default Thumbnail","Default Thumbnail"
"Default Banner","Default Banner"
"Event Column Number Is Displayed","Event Column Number Is Displayed"
"Category Event Header Style","Category Event Header Style"
"Event Display","Event Display"
"Event Style","Event Style"
"Product Display","Product Display"
"Product Event Header Style","Product Event Header Style"
"Countdown Timer","Countdown Timer"
"Product Timer","Product Timer"
"Event List Timer","Event List Timer"
"Event Category Timer","Event Category Timer"
"Coming Soon Events (days)","Coming Soon Events (days)"
"Ending Soon Events (days)","Ending Soon Events (days)"
"Lof Flash Sales Price","Lof Flash Sales Price"
"Indexed product price/product association","Indexed product price/product association"
"Event Type","Event Type"
Mixed,Mixed
"Display Page Control","Display Page Control"
"Number of Events per Page","Number of Events per Page"
"Number of Events to Display","Number of Events to Display"
Template,Template
"Events Grid Template","Events Grid Template"
"Number of Columns","Number of Columns"
"Order By","Order By"
"Sort Order","Sort Order"
"Are you sure you want to delete this discount amount?","Are you sure you want to delete this discount amount?"
"Update Discount Amount","Update Discount Amount"
"Product Name","Product Name"
SKU,SKU
"Original Price","Original Price"
"Price Type","Price Type"
"Discount Amount","Discount Amount"
"Quantity Limit","Quantity Limit"
Update,Update
"Are you sure to delete selected discount amount?","Are you sure to delete selected discount amount?"
"Are you sure to delete selected quantity limit?","Are you sure to delete selected quantity limit?"
Type,Type
"General Information","General Information"
"Enable Event","Enable Event"
"Enable/Disable Flash Sales Campaign","Enable/Disable Flash Sales Campaign"
"Is Private Sale?","Is Private Sale?"
"Enable/Disable Private Sale Campaign","Enable/Disable Private Sale Campaign"
"Event Name","Event Name"
"Store Views","Store Views"
"New Category","New Category"
"Schedule Event From","Schedule Event From"
Priority,Priority
"Product Conditions","Product Conditions"
"Assign To Category","Assign To Category"
Content,Content
"Event Thumbnail Image","Event Thumbnail Image"
"Header Banner Image","Header Banner Image"
Description,Description
"Use Default Config Settings","Use Default Config Settings"
"Applied Products","Applied Products"
"Edit Discount Amount","Edit Discount Amount"
"Add New Flash Sale","Add New Flash Sale"
"Store View","Store View"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
Disable,Disable
Enable,Enable
"Category ID","Category ID"
Thumbnail,Thumbnail
Created,Created
Modified,Modified
"Start Time","Start Time"
"End Time","End Time"
"Are you sure you want to delete
                this discount amount?
            ","Are you sure you want to delete
                this discount amount?
            "
